item,condition,label,critical_position,target_article,article_distractor,next_position,target_noun,noun_distractor,article_cloze,noun_cloze,sentence,alternative,QTYPE,Answer_1_Yes,Question
1,expected,husb_1_expected,19,an,idea,20,apple,assert,82,97,The old wives' tale says that if you want to keep the doctor away then you should eat an apple a day.,x-x-x seen eaten' owed okay cent ha sell sale pm anti mid pushed jack mass laws income pre idea assert sir nor.,NQ,,
1,unexpected,husb_1_unexpected,19,a,idea,20,carrot,assert,0,0,The old wives' tale says that if you want to keep the doctor away then you should eat a carrot a day.,x-x-x seen eaten' owed okay cent ha sell sale pm anti mid pushed jack mass laws income pre idea assert sir nor.,NQ,,
2,expected,husb_2_expected,18,a,bet,19,carrot,euros,98,100,"For the snowman's eyes the children used two pieces of coal, and for its nose they used a carrot from the fridge.","x-x-x dad broadleaf jack sir together anti miss afford glad owns, mom etc ago pray yeah hell bet euros hurt goes depend.",Q,1,Did they build a snowman?
2,unexpected,husb_2_unexpected,18,an,bet,19,apple,euros,0,3,"For the snowman's eyes the children used two pieces of coal, and for its nose they used an apple from the fridge.","x-x-x dad broadleaf jack sir together anti miss afford glad owns, mom etc ago pray yeah hell bet euros hurt goes depend.",Q,1,Did they build a snowman?
3,expected,husb_3_expected,12,an,sale,13,accent,slices,55,100,It was difficult to understand the foreign professor because he had an accent when he spoke.,x-x-x dear boyfriend ha everywhere cup follows somewhere weekend etc feet sale slices jack lie stats.,NQ,,
3,unexpected,husb_3_unexpected,12,a,sale,13,lisp,slices,39,7,It was difficult to understand the foreign professor because he had a lisp when he spoke.,x-x-x dear boyfriend ha everywhere cup follows somewhere weekend etc feet sale slices jack lie stats.,NQ,,
4,expected,husb_4_expected,16,a,spot,17,lisp,teas,86,93,Katie did not like to say words with the letter s because she spoke with a lisp and was embarrassed.,x-x-x hell sun yeah ha anti month cent site pushed duty eastern buy solar sell spot teas pre cars utilization.,NQ,,
4,unexpected,husb_4_unexpected,16,an,spot,17,accent,teas,0,20,Katie did not like to say words with the letter s because she spoke with an accent and was embarrassed.,x-x-x hell sun yeah ha anti month cent site pushed duty eastern buy solar sell spot teas pre cars utilization.,NQ,,
5,expected,husb_5_expected,19,an,ha,20,apology,raiders,89,93,Dale was very sorry for what he had said to Bernadette and he knew that he owed her an apology because she was still upset.,x-x-x hell yeah rates eat anti hear link hall wind Supervises sad sun holy sale map trek wall ha raiders nations jack goal march boost.,Q,1,Was Dale sorry?
5,unexpected,husb_5_unexpected,19,a,ha,20,cheque,raiders,0,0,Dale was very sorry for what he had said to Bernadette and he knew that he owed her a cheque because she was still upset.,x-x-x hell yeah rates eat anti hear link hall wind Supervises sad sun holy sale map trek wall ha raiders nations jack goal march boost.,Q,1,Was Dale sorry?
6,expected,husb_6_expected,14,a,ride,15,cheque,locate,93,100,The bakery did not accept credit cards so Peter would have to write a cheque to the owner.,x-x-x bolted yeah etc genius decade ocean eyes Wings miles lake el types ride locate guys ago occur.,NQ,,
6,unexpected,husb_6_unexpected,14,an,ride,15,apology,locate,0,0,The bakery did not accept credit cards so Peter would have to write an apology to the owner.,x-x-x bolted yeah etc genius decade ocean eyes Wings miles lake el types ride locate guys ago occur.,NQ,,
